id,pincode,po_del,state,gen_del,latV,longV,isMetro,isSpecDest
0,515631,True,ANDHRAPRADESH,False,14.561,77.85426,0,0
1,515581,True,ANDHRAPRADESH,False,14.248,78.25489,0,0
2,515571,True,ANDHRAPRADESH,False,13.9226721,78.2011713,0,0
3,515311,True,ANDHRAPRADESH,False,13.805106,77.043906,0,0
4,515281,True,ANDHRAPRADESH,False,14.1281045,76.9801035,0,0
5,515241,True,ANDHRAPRADESH,False,13.94,77.69183333500001,0,0
6,534176,True,ANDHRAPRADESH,True,16.991376,81.4127778,0,0
7,530052,True,ANDHRAPRADESH,True,17.8924555,83.328738,0,0
8,515871,True,ANDHRAPRADESH,True,14.925,76.42,0,0
9,515842,True,ANDHRAPRADESH,False,15.545,77.32883335,0,0
10,515803,True,ANDHRAPRADESH,True,15.02,77.39,0,0
11,515775,True,ANDHRAPRADESH,True,15.02,77.555,0,0
12,515405,True,ANDHRAPRADESH,False,15.035,77.49,0,0
13,515865,False,ANDHRAPRADESH,True,14.815000000000001,76.77000000000001,0,0
14,515455,True,ANDHRAPRADESH,True,15.065000000000001,77.64500000000001,0,0
15,515611,True,ANDHRAPRADESH,False,15.32,77.51,0,0
16,515867,True,ANDHRAPRADESH,False,14.6841389,76.21,0,0
17,515812,False,ANDHRAPRADESH,True,15.36,77.26,0,0
18,515832,True,ANDHRAPRADESH,False,15.120000000000001,77.30745835,0,0
19,515870,True,ANDHRAPRADESH,False,15.16,76.73,0,0
20,531173,True,ANDHRAPRADESH,False,17.829483,83.2026667,0,0
21,531219,True,ANDHRAPRADESH,False,17.9815115,83.30093,0,0
22,515101,True,ANDHRAPRADESH,False,14.27,77.63,0,0
23,516129,True,ANDHRAPRADESH,False,13.99,78.99,0,0
24,516237,True,ANDHRAPRADESH,False,14.48,78.93,0,0
25,516130,True,ANDHRAPRADESH,True,13.9816,78.91,0,0
26,516151,True,ANDHRAPRADESH,False,14.3271894,79.2078578,0,0
27,524324,True,ANDHRAPRADESH,False,,,0,0
28,522658,True,ANDHRAPRADESH,False,16.2056,79.7836,0,0
29,522614,True,ANDHRAPRADESH,True,16.42466665,79.71575,0,0
30,534239,True,ANDHRAPRADESH,False,16.451542500000002,81.51404099999999,0,0
31,534237,True,ANDHRAPRADESH,False,16.533238555,81.40248399999999,0,0
32,534247,True,ANDHRAPRADESH,False,16.57300522,81.6377545,0,0
33,534202,False,ANDHRAPRADESH,True,16.54036111,81.51927778,0,0
34,534243,True,ANDHRAPRADESH,False,16.54255556,81.60386111,0,0
35,534199,True,ANDHRAPRADESH,True,16.592015,81.46397222,0,0
36,534134,True,ANDHRAPRADESH,True,16.686000110000002,81.5892965,0,0
37,534238,True,ANDHRAPRADESH,False,16.612257165000003,81.6298805,0,0
38,534240,True,ANDHRAPRADESH,False,16.596893610000002,81.658977335,0,0
39,534206,True,ANDHRAPRADESH,False,16.5367685,81.463658165,0,0
40,534210,True,ANDHRAPRADESH,True,16.584515054999997,81.56889172000001,0,0
41,515231,True,ANDHRAPRADESH,True,13.983806,77.772306,0,0
42,515271,True,ANDHRAPRADESH,False,13.9754065,77.1044065,0,0
43,515164,True,ANDHRAPRADESH,True,14.0798864,77.6022054,0,0
44,515212,True,ANDHRAPRADESH,False,13.82892,77.493282,0,0
45,515303,True,ANDHRAPRADESH,False,13.94028965,77.27170665,0,0
46,515556,True,ANDHRAPRADESH,False,13.89,78.07,0,0
47,515661,True,ANDHRAPRADESH,True,14.51502778,77.77,0,0
48,515672,True,ANDHRAPRADESH,True,14.42,77.72,0,0
49,515521,True,ANDHRAPRADESH,False,14.08,78.27,0,0
50,515591,False,ANDHRAPRADESH,True,14.11152778,78.16,0,0
51,515641,True,ANDHRAPRADESH,True,14.4455,77.53,0,0
52,515531,True,ANDHRAPRADESH,False,14.11,77.93,0,0
53,515541,True,ANDHRAPRADESH,False,14.17086111,77.98036111,0,0
54,515511,True,ANDHRAPRADESH,True,14.348500000000001,77.995,0,0
55,515551,True,ANDHRAPRADESH,False,13.986799999999999,78.1858,0,0
56,515154,True,ANDHRAPRADESH,False,14.1996,77.80115,0,0
57,515501,True,ANDHRAPRADESH,False,14.234,78.09445,0,0
58,515341,True,ANDHRAPRADESH,False,13.83944444,77.71,0,0
59,515286,True,ANDHRAPRADESH,False,14.0272,76.9933,0,0
60,515144,True,ANDHRAPRADESH,False,14.24,77.8,0,0
61,515133,True,ANDHRAPRADESH,True,14.186841665,77.76075,0,0
62,515159,True,ANDHRAPRADESH,False,14.1997,77.8014,0,0
63,515651,True,ANDHRAPRADESH,False,14.3357,77.7153,0,0
64,523264,True,ANDHRAPRADESH,True,15.7366944,79.850264,0,0
65,523263,True,ANDHRAPRADESH,False,15.65637835,79.9417765,0,0
66,524221,True,ANDHRAPRADESH,False,14.9695067,79.5336338,0,0
67,524240,True,ANDHRAPRADESH,False,14.6887845,79.8632835,0,0
68,524152,True,ANDHRAPRADESH,False,14.763801,80.002336,0,0
69,524222,True,ANDHRAPRADESH,False,14.851594500000001,79.41569895,0,0
70,524236,True,ANDHRAPRADESH,False,14.998319,79.3543,0,0
71,523262,True,ANDHRAPRADESH,True,15.556356,80.0576667,0,0
72,524223,True,ANDHRAPRADESH,False,14.894142500000001,79.8936975,0,0
73,524224,True,ANDHRAPRADESH,False,14.828481400000001,79.71438645,0,0
74,524239,True,ANDHRAPRADESH,False,14.966587,79.718253,0,0
75,531084,True,ANDHRAPRADESH,False,17.6753633,82.37613,0,0
76,531114,True,ANDHRAPRADESH,False,17.746833,82.6946573,0,0
77,531022,True,ANDHRAPRADESH,False,17.931746,83.052864,0,0
78,531126,True,ANDHRAPRADESH,True,17.4034449,82.61877580000001,0,0
79,516329,True,ANDHRAPRADESH,True,14.3728333,78.480938,0,0
80,516293,True,ANDHRAPRADESH,False,14.56272715,78.7112875,0,0
81,516321,True,ANDHRAPRADESH,False,14.4721233,78.4534883,0,0
82,531149,True,ANDHRAPRADESH,False,18.3084283,82.9122565,0,0
83,524300,True,ANDHRAPRADESH,False,14.4948518,79.3110859,0,0
84,524142,True,ANDHRAPRADESH,False,14.7857105,79.98608329999999,0,0
85,534208,True,ANDHRAPRADESH,False,16.518868,81.50997222,0,0
86,534204,False,ANDHRAPRADESH,True,16.54327778,81.492427,0,0
87,534207,True,ANDHRAPRADESH,False,16.47497222,81.606467,0,0
88,533274,True,ANDHRAPRADESH,True,16.7013889,81.8893333,0,0
89,533253,True,ANDHRAPRADESH,True,16.40433333,81.80602778,0,0
90,533250,True,ANDHRAPRADESH,False,16.7013889,81.8893333,0,0
91,533247,True,ANDHRAPRADESH,True,16.7013889,81.8893333,0,0
92,533229,True,ANDHRAPRADESH,False,16.7013889,81.8893333,0,0
93,533248,True,ANDHRAPRADESH,True,16.44316667,81.91394444,0,0
94,533238,True,ANDHRAPRADESH,True,15.80966667,79.97033333,0,0
95,533236,True,ANDHRAPRADESH,True,16.78008333,81.80188889,0,0
96,533251,True,ANDHRAPRADESH,True,16.42425,81.7185,0,0
97,533244,True,ANDHRAPRADESH,False,16.466,81.82877778,0,0
98,533249,False,ANDHRAPRADESH,True,16.505041665,81.878944445,0,0
99,515445,True,ANDHRAPRADESH,False,14.893,77.912,0,0
100,515002,True,ANDHRAPRADESH,True,14.64,77.5414,0,0
101,533290,True,ANDHRAPRADESH,True,17.210900000000002,81.7833,0,0
102,516213,True,ANDHRAPRADESH,True,14.4017267,79.0244217,0,0
103,533237,True,ANDHRAPRADESH,True,16.77844444,81.82466667,0,0
104,515561,True,ANDHRAPRADESH,True,14.0137,77.9941,0,0
105,516193,True,ANDHRAPRADESH,True,14.99,78.98,0,0
106,516003,True,ANDHRAPRADESH,True,14.477625,78.79,0,0
107,516269,False,ANDHRAPRADESH,True,14.05,78.72,0,0
108,516215,True,ANDHRAPRADESH,False,13.934999999999999,78.787975,0,0
109,516002,False,ANDHRAPRADESH,True,14.4797197,78.8663964,0,0
110,516505,True,ANDHRAPRADESH,False,15.004999999999999,79.03,0,0
111,516268,True,ANDHRAPRADESH,False,14.17,78.8572515,0,0
112,516105,True,ANDHRAPRADESH,False,13.99394445,79.31025,0,0
113,516501,True,ANDHRAPRADESH,False,14.594999999999999,79.0435139,0,0
114,516128,True,ANDHRAPRADESH,False,14.235,79.265,0,0
115,516101,False,ANDHRAPRADESH,True,14.08,79.57,0,0
116,516247,True,ANDHRAPRADESH,True,14.43,78.963646,0,0
117,516126,True,ANDHRAPRADESH,False,14.2,79.14,0,0
118,516152,True,ANDHRAPRADESH,False,14.32713115,79.07372240000001,0,0
119,516150,True,ANDHRAPRADESH,False,14.247427,79.1059513,0,0
120,533232,True,ANDHRAPRADESH,False,16.801,81.8995833,0,0
121,535525,False,ANDHRAPRADESH,False,83.5076,18.7731,0,0
122,535005,True,ANDHRAPRADESH,False,18.020106,83.402974,0,0
123,515763,True,ANDHRAPRADESH,False,14.6,77.04,0,0
124,515701,True,ANDHRAPRADESH,True,14.72,77.712,0,0
125,516401,True,ANDHRAPRADESH,False,14.58446095,78.2487963,0,0
126,515408,True,ANDHRAPRADESH,True,15.575,77.205,0,0
127,515415,True,ANDHRAPRADESH,False,14.932,78.0,0,0
128,515751,True,ANDHRAPRADESH,False,14.6,77.47,0,0
129,533107,True,ANDHRAPRADESH,True,16.98395085,81.83891335,0,0
130,535260,True,ANDHRAPRADESH,False,18.231358,83.317476,0,0
131,535126,True,ANDHRAPRADESH,False,83.5329,18.5016,0,0
132,535124,False,ANDHRAPRADESH,False,83.4758,18.45712,0,0
133,516349,True,ANDHRAPRADESH,False,14.3642716,78.3209166,0,0
134,517194,True,ANDHRAPRADESH,True,13.673764,79.1566667,0,0
135,517305,True,ANDHRAPRADESH,False,13.835545,78.58795,0,0
136,517152,True,ANDHRAPRADESH,False,13.4816111,79.0431111,0,0
137,517297,True,ANDHRAPRADESH,True,13.8091915,78.5425285,0,0
138,517213,True,ANDHRAPRADESH,False,13.763967,78.899556,0,0
139,517236,True,ANDHRAPRADESH,True,13.82968735,78.7752778,0,0
140,517234,True,ANDHRAPRADESH,True,13.6295814,78.809308,0,0
141,524421,True,ANDHRAPRADESH,True,14.68215,79.81915,0,0
142,524126,False,ANDHRAPRADESH,True,14.1691,79.85175,0,0
143,524323,True,ANDHRAPRADESH,False,14.322912500000001,79.9234548,0,0
144,524129,True,ANDHRAPRADESH,False,14.9717,79.19965,0,0
145,524345,True,ANDHRAPRADESH,True,14.3840992,79.7323967,0,0
146,524121,False,ANDHRAPRADESH,True,13.69695,80.0349215,0,0
147,524408,True,ANDHRAPRADESH,True,14.199815,79.5336383,0,0
148,524313,True,ANDHRAPRADESH,False,14.527408,80.150534,0,0
149,524366,True,ANDHRAPRADESH,True,14.536894,79.990939,0,0
150,524303,True,ANDHRAPRADESH,False,14.588658,79.466873,0,0
151,524308,True,ANDHRAPRADESH,True,14.637261500000001,79.72947400000001,0,0
152,524302,True,ANDHRAPRADESH,False,14.5804665,79.35041799999999,0,0
153,524002,False,ANDHRAPRADESH,True,14.446145999999999,80.043363,0,0
154,524311,True,ANDHRAPRADESH,False,14.391025,80.0835,0,0
155,524318,True,ANDHRAPRADESH,False,14.578349,80.0688333,0,0
156,524319,True,ANDHRAPRADESH,True,14.588203,79.97929,0,0
157,523171,True,ANDHRAPRADESH,False,16.025766,80.25164699999999,0,0
158,523190,True,ANDHRAPRADESH,False,15.9036126,80.2048026,0,0
159,523167,True,ANDHRAPRADESH,True,15.82901845,80.18442715,0,0
160,523181,True,ANDHRAPRADESH,False,15.7348245,80.24090530000001,0,0
161,523184,True,ANDHRAPRADESH,False,15.73478165,80.2807078,0,0
162,523169,True,ANDHRAPRADESH,True,15.963702,80.285868,0,0
163,523157,False,ANDHRAPRADESH,True,15.818925,80.37075899999999,0,0
164,523185,True,ANDHRAPRADESH,False,15.8049167,80.244098,0,0
165,523170,True,ANDHRAPRADESH,False,15.869111,80.254869,0,0
166,523281,True,ANDHRAPRADESH,True,15.07211595,79.9124395,0,0
167,523271,True,ANDHRAPRADESH,False,15.33903,79.8193889,0,0
168,535463,True,ANDHRAPRADESH,False,83.51245,18.7193,0,0
169,535523,True,ANDHRAPRADESH,False,83.6423,19.0074,0,0
170,535594,False,ANDHRAPRADESH,False,83.6012,18.7889,0,0
171,535521,False,ANDHRAPRADESH,False,83.46785,18.9169,0,0
172,535524,True,ANDHRAPRADESH,True,83.5516,18.87645,0,0
173,535526,True,ANDHRAPRADESH,False,83.534205,18.834,0,0
174,535534,True,ANDHRAPRADESH,False,83.7221,18.8842,0,0
175,535582,True,ANDHRAPRADESH,False,18.379697,83.389928,0,0
176,522646,True,ANDHRAPRADESH,True,16.0961,79.8348,0,0
177,522401,True,ANDHRAPRADESH,True,16.42165,80.3073,0,0
178,533436,True,ANDHRAPRADESH,False,17.5347,82.2,0,0
179,533291,True,ANDHRAPRADESH,True,16.99645,81.9969,0,0
180,533446,True,ANDHRAPRADESH,True,17.3384722,82.34445,0,0
181,533408,True,ANDHRAPRADESH,True,17.22,82.46515,0,0
182,533401,False,ANDHRAPRADESH,True,17.35536945,82.5111682,0,0
183,534267,True,ANDHRAPRADESH,True,16.562468055,81.769755665,0,0
184,534222,True,ANDHRAPRADESH,True,16.71887339,81.67614961000001,0,0
185,534004,True,ANDHRAPRADESH,True,16.690199999999997,81.14885000000001,0,0
186,534425,True,ANDHRAPRADESH,True,16.81995,81.26180835,0,0
187,534448,True,ANDHRAPRADESH,False,17.1158,81.3067,0,0
188,524405,True,ANDHRAPRADESH,True,14.21594,79.8747149,0,0
189,515741,True,ANDHRAPRADESH,True,14.71,77.2123,0,0
190,532148,True,ANDHRAPRADESH,False,83.14215,18.057650000000002,0,0
191,532455,True,ANDHRAPRADESH,False,18.7789442,83.881545,0,0
192,532457,True,ANDHRAPRADESH,False,18.7838056,83.93925055,0,0
193,518196,True,ANDHRAPRADESH,False,15.1617778,78.17,0,0
194,518543,False,ANDHRAPRADESH,True,15.13,78.53,0,0
195,518124,False,ANDHRAPRADESH,True,15.33,78.22,0,0
196,518523,True,ANDHRAPRADESH,False,15.57,78.52,0,0
197,518553,True,ANDHRAPRADESH,True,14.97,78.5831944,0,0
198,533007,True,ANDHRAPRADESH,True,16.960528,82.248674,0,0
199,517505,True,ANDHRAPRADESH,True,13.60905,79.352623,0,0
200,534406,True,ANDHRAPRADESH,True,16.8167,81.3963,0,0
201,534460,False,ANDHRAPRADESH,True,17.0179,80.974,0,0
202,534462,True,ANDHRAPRADESH,False,16.8913056,80.9955,0,0
203,534426,False,ANDHRAPRADESH,True,16.9544139,81.2569972,0,0
204,534455,True,ANDHRAPRADESH,False,17.13244785,81.2832,0,0
205,534456,True,ANDHRAPRADESH,False,17.17935,81.1155,0,0
206,534449,True,ANDHRAPRADESH,True,16.979,81.1739,0,0
207,534311,True,ANDHRAPRADESH,False,17.186711099999997,81.41796665000001,0,0
208,534312,False,ANDHRAPRADESH,True,17.025,81.5576,0,0
209,534475,True,ANDHRAPRADESH,False,16.8298,81.0434,0,0
210,534451,True,ANDHRAPRADESH,False,17.033450000000002,81.47274999999999,0,0
211,532187,True,ANDHRAPRADESH,False,18.287777,83.9003333,0,0
212,533440,False,ANDHRAPRADESH,True,17.0535833,82.17,0,0
